ObjectNum,Name,Type,Constellation,Magnitude,Info,RAHour,RAMinute,DecSign,DecDeg,DecMinute
     43,UGC 120,Galaxy,And,14,"eF, *12 np 45""",0,13,+,30,54
     44,,,And,,"eF, vS",0,13.1,+,31,17
     45,A 4,Galaxy,Cet,10.4,"Size: 8.1  eF, L, vgvlbM, *9 cont s",0,14.1,-,23,11
     46,,Star,Psc,,nebula,0,14.1,+,5,59
     47,NGC 58,Galaxy,Cet,13,"vF, vS",0,14.5,-,7,11
     48,UGC 133,Galaxy,And,15,"Size: 1.7  eeF, pL, R, v diffic",0,14,+,48,14
     49,UGC 136,Galaxy,And,15,"eeF, S, R, 2nd of 3",0,14.3,+,48,14
     50,MCG 1-1-58,Galaxy,Cet,,vF,0,14.7,-,7,20
     51,UGC 138,Galaxy,And,15,"Size: 1.8  pF, pS, R, bM",0,14.6,+,48,15
     52,UGC 140,Galaxy,Peg,14,"vF, S, E",0,14.6,+,18,33
     53,ESO 111-20,Galaxy,Tuc,,"Size: 2.1  eF, S, R, bM",0,14.7,-,60,20
     54,MCG 1-1-60,Galaxy,Cet,14,"vF, pS, R, 50 sp",0,15.1,-,7,8
     55,Dunlop 507,Galaxy,Scl,8,"Size: 32.4  vB, vL, vmE, triN",0,14.9,-,39,11
     56,,,Psc,,"eF, eL, diff",0,15.4,+,12,26
     57,UGC 145,Galaxy,Psc,13,"F, S, R, sbM",0,15.4,+,17,18
     58,NGC 47,,Cet,,"vF, pS, R; = 47",0,14.5,-,7,10
     59,ESO 539-4,Galaxy,Cet,13,"vF, pS, iR, gbM",0,15.5,-,21,27
     60,UGC 150,Galaxy,Psc,15,"eF, vS, R, lbM",0,16,-,0,18
     61,,Galaxy,Psc,15,"vF, S, iR, psvlbM",0,16.5,-,6,14
     62,MCG 2-1-43,Galaxy,Cet,14,"F, vS, R, glbM",0,17.1,-,13,28
     63,UGC 167,Galaxy,Psc,13,"Size: 1.9  pF, S, R, sbM",0,17.7,+,11,27
     64,MCG 1-1-68,Galaxy,Cet,14,"eeF, vS, R, v diffic",0,17.5,-,6,51
     65,ESO 473-10A,Galaxy,Cet,15,"eF, vS, R, gbM, p of 2",0,19.1,-,22,54
     66,ESO 473-10,Galaxy,Cet,14,"eF, pS, E 225deg , *9 n 1', f of 2",0,19.2,-,22,57
     67,V V 166,Galaxy,And,16,"Size: 0.4  eF, vS, R",0,18.2,+,30,4
     68,UGC 170,Galaxy,And,13,"Size: 1.5  eF, L, 3 or 4 st + neb",0,18.3,+,30,4
     69,MCG 5-1-66,Galaxy,And,14.8,"Size: 0.4  eF, vS, R",0,18.3,+,30,2
     70,UGC 174;IC 1539,Galaxy,And,15,"Size: 1.7  eF, vS, R, bet 2 F st",0,18.4,+,30,5
     71,UGC 173;V V 166,Galaxy,And,13,"Size: 1.8  eF, vS, R",0,18.4,+,30,4
     72,UGC 176;V V 166,Galaxy,And,13.4,"Size: 1.4  eF, vS, R",0,18.5,+,30,2
     73,MCG 3-1-26,Galaxy,Cet,13,"vF, S, R, eF D* close f",0,18.8,-,15,21
     74,MCG 5-1-71,Galaxy,And,16,"eF, S, E, last of 6",0,18.9,+,30,3
     75,UGC 182,Galaxy,Psc,15,"vF, vS, R",0,19.5,+,6,25
     76,UGC 185,Galaxy,And,14,"vF, S, bM",0,19.6,+,29,56
     77,ESO 473-15,,Cet,,"eF, vS, iF (*?), *9 p 3'",0,20,-,22,31
     78,,Galaxy,Psc,14,"vF, S, R",0,20.4,+,0,49
     79,MCG 4-2-3,Galaxy,And,15,"vF, S, vlbM",0,21,+,22,34
     80,UGC 203,Galaxy,And,12.1,"Size: 2.5  F, S, R, psbM",0,21.2,+,22,21
     81,NPM1G +22.0016,Galaxy,And,,"eeF, sp 83",0,21.2,+,22,22
     82,,Galaxy,And,14,"Size: 1.3  eF, stellar",0,21.4,+,22,26
     83,UGC 206,Galaxy,And,12.6,"Size: 1.6  E, biN, 3 B st nr",0,21.4,+,22,26
     84,,Galaxy,And,17,"eF, st & neb",0,21.5,+,22,36
     85,,Galaxy,And,15,"eeF, cL, R",0,21.4,+,22,30
     86,MCG 4-2-9,Galaxy,And,15,"eF, vS, lbM",0,21.5,+,22,33
     87,ESO 194-8,Galaxy,Phe,,"eF, S, R, gbM, 1st of 4",0,21.2,-,48,38
     88,ESO 194-10,Galaxy,Phe,,"eF, vS, R, 2nd of 4",0,21.3,-,48,39
     89,ESO 194-11,Galaxy,Phe,,"vF, S, R, gbM, 3rd of 4",0,21.3,-,48,41
     90,UGC 208,Star,And,,"vF, lE",0,21.9,+,22,25
     91,,Galaxy,And,15,"Size: 2.5  vF, vS, *13 sp",0,21.8,+,22,25
     92,ESO 194-12,Galaxy,Phe,,"F, S, R, gbM, 4th of 4",0,21.5,-,48,38
     93,UGC 209,Galaxy,And,14,"vF, vS",0,22,+,22,25
     94,ZWG 479. 17,Galaxy,And,15,"eF, vS",0,22.2,+,22,28
     95,UGC 214,Galaxy,Psc,12.6,"Size: 1.9  F, pL, R, gbM",0,22.2,+,10,30
     96,MCG 4-2-14,Galaxy,And,17,"vF, S, vlbM",0,22.3,+,22,33
     97,UGC 216,Galaxy,And,13,"F, vS, R, gbM",0,22.4,+,29,44
     98,ESO 242-5,Galaxy,Phe,,"Size: 1.8  vF, pS, R, bM, r",0,22.8,-,45,16
     99,UGC 230,Galaxy,Psc,14,"Size: 1.7  vF, pL, R, gbM",0,24,+,15,47
    100,UGC 231,Galaxy,Psc,,"Size: 5.8  vF, pS, mE, 2' long",0,24,+,16,29
    101,ESO 350-14,Galaxy,Scl,13,"pB, pL, lE, *14 f",0,23.9,-,32,34
    102,MCG 2-2-11,Galaxy,Cet,14,"eF, vS, R",0,24.4,-,13,57
    103,OCL 291,Open Cluster,Cas,9.8,"Size: 5.  Cl, pS, pC, st 11...18",0,25.3,+,61,21
    104,47 Tucanae,Globular Cluster,Tuc,4,"Size: 30.9  glob. cl.  !! vB, vL, vmCM",0,24.1,-,72,5
    105,UGC 241,Galaxy,Psc,13.2,"Size: 1.2  vF, S, R, vlbM",0,25.3,+,12,53
    106,,Galaxy,Psc,,"pF, vS, R, lbM",0,24.7,-,5,10
    107,MCG 2-2-14,Galaxy,Cet,,"F, pL, *7 sf 5'",0,25.6,-,8,17
    108,UGC 246,Galaxy,And,13,"pF, pL, R, pslbM",0,25.9,+,29,13
    109,UGC 251,Galaxy,And,15,"vF, S, 3 st nr",0,26.2,+,21,49
    110,OCL 300,Open Cluster,Cas,,"Cl, pR, lC, st 9...12",0,27.4,+,71,23
    111,,,Cet,,"vF, S, R, lbM, *8.5 p 36s , n 2'; = 113?",0,26.7,-,2,38
    112,UGC 255,Galaxy,And,14,"eF, vS, R",0,26.7,+,31,43
    113,MCG 1-2-16,Galaxy,Cet,13,"vF, S, sbM",0,27,-,2,30
    114,UGC 259,Galaxy,Cet,15,"vF, S* in centre, p of 2",0,27.1,-,1,47
    115,ESO 350-17,Galaxy,Scl,,"vF, pL, lE, D* 2' np",0,26.8,-,33,41
    116,MCG 1-2-17,Galaxy,Cet,14,vF,0,27.2,-,7,42
    117,MCG 0-2-29,Galaxy,Cet,15,"F, vS",0,27.2,+,1,19
    118,UGC 264,Galaxy,Cet,15,"vF, S* in centre, f of 2",0,27.3,-,1,47
    119,ESO 150-8,Galaxy,Phe,,"pB, S, R, mbM",0,27.1,-,56,59
    120,UGC 267,Galaxy,Cet,15,Size: 1.8  nebulous *,0,27.5,-,1,31
    121,ESO 50-SC12,Globular Cluster,Tuc,10.6,"Size: 1.5  pB, pS, lE, vgbM",0,26.8,-,71,32
    122,,?,Cet,,1st of 2 vF neb 4'-5' np of *8.5,0,27.7,-,1,38
    123,,?,Cet,,2nd of 2 vF neb 4'-5' np of *8.5,0,27.8,-,1,36
    124,UGC 271,Galaxy,Cet,14,"Size: 1.6  vF, L, dif, 2 F st np",0,27.9,-,1,49
    125,UGC 286,Galaxy,Psc,12.3,"Size: 2.0  vF, S, bM, D* sp",0,28.8,+,2,50
    126,MCG 0-2-49,Galaxy,Psc,16,"Size: 1.4  vF, S, lE",0,29.1,+,2,49
    127,MCG 0-2-50,Galaxy,Psc,14,"Size: 1.0  vF, vS, R, p 128",0,29.2,+,2,52
    128,UGC 292,Galaxy,Psc,11.6,"Size: 3.4  pB, pS, lE 2deg , bM",0,29.2,+,2,51
    129,OCL 294,Open Cluster,Cas,6.5,"Size: 21.  Cl, vL, pR, lC, st 9...13",0,29.9,+,60,14
    130,MCG 0-2-52,Galaxy,Psc,14.3,"Size: 0.9  vF, vS, R, f 128",0,29.3,+,2,52
    131,ESO 350-21,Galaxy,Scl,,"Size: 2.1  F, pL, pmE, vgbM, p of 2",0,29.6,-,33,16
    132,UGC 301,Galaxy,Cet,14,"Size: 2.0  pF, cL, R, vglbM, R",0,30.2,+,2,6
    133,OCL 296,Open Cluster,Cas,9,"Size: 7.  Cl, pL, st 10..., D* inv",0,31.2,+,63,22
    134,ESO 350-23,Galaxy,Scl,10.1,"Size: 8.1  vB, L, vmE 47deg , psbM, f of",0,30.4,-,33,15
    135,IC 26,,Cet,,"vF, vS, R",0,31.8,-,13,22
    136,OCL 295,Open Cluster,Cas,,"Size: 1.  glob. cl. , vF, S, eC",0,31.5,+,61,32
    137,UGC 309,Galaxy,Psc,14,"F, iF, lbM",0,31.1,+,10,11
    138,UGC 308,Galaxy,Psc,15,"F, eS, sbM",0,31,+,5,10
    139,ZWG 409. 22,Galaxy,Psc,15,"eF, S",0,31,+,5,5
    140,UGC 311,Galaxy,And,14,"vF, S, R, gbM",0,31.3,+,30,47
    141,ZWG 409. 27,Galaxy,Psc,15,"vF, vS, iR",0,31.4,+,5,11
    142,ESO 473-21,Galaxy,Cet,14,"eF, S, lE, 1st of 3 and faintest",0,31.3,-,22,37
    143,ESO 473-22,Galaxy,Cet,15,"eF, S, mE, 2nd of 3",0,31.4,-,22,34
    144,ESO 473-23,Galaxy,Cet,14,"eF, pS, R, 3rd of 3 and brightest",0,31.4,-,22,39
    145,Arp 19,Galaxy,Cet,12.8,"Size: 1.8  F, pL, vlE, vgbM, *8-9 f 5'",0,31.7,-,5,9
    146,OCL 299,Open Cluster,Cas,9.1,"Size: 7.  Cl, pL, lC, st 11-12, D*",0,33.1,+,63,18
    147,UGC 326;D3,Galaxy,Cas,9.3,"Size: 12.9  vF, vL, iR, gsmbM *11",0,33.2,+,48,30
    148,ESO 410-20,Galaxy,Scl,12.1,"Size: 2.4  vB, S, lE 90deg , smbM *11",0,34.3,-,31,47
    149,UGC 332,Galaxy,And,15,"vF, vS, R, gbM *14, *12 sp",0,33.7,+,30,43
    150,A 7,Galaxy,Scl,11.1,"Size: 4.2  pF, pS, R",0,34.3,-,27,48
    151,NGC 153,Galaxy,Cet,11.5,"Size: 3.7  pF, pL, lE 90deg , vglbM",0,34,-,9,42
    152,ESO 28-SC24,Globular Cluster,Tuc,12,"vF, L, R, vglbM",0,32.8,-,73,9
    153,NGC 151,,Cet,,"pF, pS, R, * nr nf; = 151",0,34,-,9,42
    154,MCG 2-2-53,Galaxy,Cet,14,"eF, vS, R",0,34.1,-,12,39
    155,MCG 2-2-55,Galaxy,Cet,13,"pF, S, R",0,34.7,-,10,46
    156,,Double Star,Cet,,"vS, np 157",0,34.6,-,8,21
    157,MCG 2-2-56,Galaxy,Cet,10.4,"Size: 4.3  pB, L, E, bet 2 cB st",0,34.8,-,8,24
    158,,Double Star,Cet,,"vS, nf 157",0,34.9,-,8,19
    159,ESO 150-11,Galaxy,Phe,,"vF, pS, R, glbM, 3 st f",0,34.6,-,55,47
    160,UGC 356,Galaxy,And,12.4,"Size: 3.2  vF, vS, stell, *8, 17deg , 4'",0,36.1,+,23,57
    161,IC 1557,Galaxy,Cet,15,"eF, eS, R, nearly bet 2 st; = IC 1557",0,35.5,-,2,50
    162,,Galaxy,And,,"eF, stellar, 160 sp",0,36.1,+,23,58
    163,MCG 2-2-66,Galaxy,Cet,12.8,"Size: 1.4  vF, vS",0,36,-,10,7
    164,MCG 0-2-89,Galaxy,Psc,16,eF,0,36.5,+,2,45
    165,MCG 2-2-69,Galaxy,Cet,13.2,"Size: 1.6  F, L, st in centre, f of 2",0,36.5,-,10,6
    166,MCG 2-2-63,Galaxy,Cet,15,"eF, S, lE, *11 np",0,35.8,-,13,37
    167,ESO 473-29,Galaxy,Cet,13,"vF, pS, iR",0,35.3,-,23,22
    168,ESO 474-4,Galaxy,Cet,14,"eF, S, E 30deg , *10 nf 3'",0,36.7,-,22,36
    169,UGC 365;Arp 282,Galaxy,And,13,"Size: 3.0  F, pL, D or biN, *6 nf 4'",0,36.9,+,23,59
    170,MCG 0-2-91,Galaxy,Cet,15,"F, S, R",0,36.7,+,1,51
    171,NGC 175,,Cet,,"vF, pL, lE, 2 pB st sf; = 175",0,37.4,-,19,56
    172,ESO 474-5,Galaxy,Cet,,"Size: 2.6  eF, S, E, *13 close sp",0,37.3,-,22,36
    173,UGC 369,Galaxy,Cet,15,"Size: 3.5  vF, S, R, vgbM, *11 sp 80""",0,37.2,+,1,56
    174,ESO 411-1,Galaxy,Scl,14,"eF, S, vlE, am B st",0,36.9,-,29,29
    175,NGC 171,Galaxy,Cet,12.1,"Size: 2.6  pB, pL, E, gbM, R",0,37.4,-,19,56
    176,ESO 29-SC2,Open Cluster,Tuc,12,"eF, S, vlE, r, *8 nr",0,35.8,-,73,11
    177,ESO 474-6,Galaxy,Cet,13,"eF, S, E 175deg",0,37.5,-,22,34
    178,IC 39,Galaxy,Cet,12.6,"Size: 2.0  F, S, mE 0deg , bM; = IC 39",0,39.1,-,14,10
    179,ESO 540-7,Galaxy,Cet,14,"eF, eS, R, B* np",0,37.8,-,17,53
    180,UGC 380,Galaxy,Psc,14,"Size: 2.6  vF, pL, iR, * np inv",0,38,+,8,38
    181,MCG 5-2-32,Galaxy,And,15,"eF, eS, irr, vF* att",0,38.2,+,29,28
    182,UGC 382,Galaxy,Psc,12.6,"Size: 2.3  vF, S, iR, vgbM",0,38.2,+,2,44
    183,UGC 387,Galaxy,And,14,"pF, vS, R, gbM",0,38.3,+,29,30
    184,ZWG 500. 59,Galaxy,And,15,"eF, eS",0,38.5,+,29,26
    185,UGC 396,Galaxy,Cas,9.2,"Size: 11.5  pB, vL, iR, vgmbM, r",0,39,+,48,20
    186,UGC 390,Galaxy,Psc,15,"F, S, R, lbM",0,38.5,+,3,9
    187,MCG 3-2-34,Galaxy,Cet,13,"F, S, mE 150deg , bM",0,39.6,-,14,41
    188,OCL 309,Open Cluster,Cep,8.1,"Size: 14.  Cl, vL, R, 150-200 st 10...18",0,44,+,85,20
    189,OCL 301,Open Cluster,Cas,8.8,"Size: 4.  Cl, pL, R, st 11...15",0,39.6,+,61,4
    190,UGC 397,Galaxy,Psc,14,"Size: 1.0  vF, S, lE, sev st nr sp",0,38.9,+,7,2
    191,MCG 2-2-77,Galaxy,Cet,12,"Size: 1.5  pB, pL, iE 0deg",0,39,-,9,0
    192,UGC 401,Galaxy,Cet,14,"Size: 2.3  F, pS, pmE, bM",0,39.3,+,0,51
    193,UGC 408,Galaxy,Psc,12.3,"Size: 1.7  F, L, p of 2, *15 close sp",0,39.3,+,3,20
    194,UGC 407,Galaxy,Psc,12.1,"Size: 1.9  pB, S, R, vgbM",0,39.3,+,3,2
    195,MCG 2-2-79,Galaxy,Cet,,Size: 1.3  F,0,39.6,-,9,12
    196,UGC 405,Galaxy,Cet,14,"F, pS, R, psmbM",0,39.3,+,0,54
    197,UGC 406,Galaxy,Cet,15,"eF, s of 196",0,39.4,+,0,53
    198,UGC 414,Galaxy,Psc,12.8,"Size: 1.3  F, S, vgbM",0,39.4,+,2,48
    199,UGC 415,Galaxy,Psc,15,"F, vS, *8 p 27s , 45"" s",0,39.6,+,3,7
    200,UGC 420,Galaxy,Psc,14,"Size: 2.0  pB, S, vgbM",0,39.6,+,2,53
    201,UGC 419,Galaxy,Cet,15,"Size: 2.2  vF, cL, E, vglbM",0,39.7,+,0,51
    202,UGC 420,Galaxy,Psc,15,"eF, vS, ibM",0,39.7,+,3,31
    203,NGC 211,Galaxy,Psc,15,"F, R, *9 sp 8'",0,39.7,+,3,26
    204,UGC 423,Galaxy,Psc,14,"F, pS, R, vgbM, f of 2",0,39.8,+,3,17
    205,M 110,Galaxy,And,8,"Size: 17.4  vB, vL, mE 165deg , vgvmbM; ",0,40.4,+,41,41
    206,,Cluster Nebulosity,And,,"vF, vL, mE 0deg",0,40.6,+,40,44
    207,MCG 3-2-35,,Cet,,"vF, S, lE, stellar",0,40,-,14,18
    208,MCG 0-2-118,Galaxy,Psc,15,pF,0,40.4,+,2,44
    209,ESO 540-8,Galaxy,Cet,14,"vF, vS, R, bM",0,39.1,-,18,38
    210,MCG 2-2-81,Galaxy,Cet,10.9,"Size: 5.4  B, pS, R, psbM, r, *11 p 2'",0,40.6,-,13,52
    211,NGC 203,Star,Psc,,"eF, S, mbMN",0,41,+,3,26
    212,ESO 150-18,Galaxy,Phe,,"vF, S, R, p of 2",0,40.1,-,56,10
    213,UGC 436,Galaxy,Psc,15,"F, S, bet 2 S st",0,41.2,+,16,28
    214,UGC 438,Galaxy,And,12.2,"Size: 2.1  pF, pS, gvlbM, r",0,41.5,+,25,30
    215,ESO 150-19,Galaxy,Phe,,"Size: 1.2  F, S, R, am st, f of 2",0,40.8,-,56,13
    216,ESO 540-15,Galaxy,Cet,13.3,"Size: 1.8  eF, vS, lE",0,41.4,-,21,3
    217,MCG 2-2-85,Galaxy,Cet,,"Size: 3.3  F, S, lE 90deg , glbM",0,41.5,-,10,2
    218,UGC 440,Galaxy,And,15,"eF, vS, R, gbM",0,41.8,+,36,21
    219,MCG 0-2-128,Galaxy,Cet,15,"F, S, R, *11 sp 1'",0,42.3,+,0,54
    220,ESO 29-SC3,Open Cluster,Tuc,11,"F, iR, vgbM, 1st of several",0,40.5,-,73,24
    221,M 32,Galaxy,And,8.2,"Size: 7.6  ! vvB, L, R, psmbMN; = M32",0,42.7,+,40,52
    222,ESO 29-SC4,Open Cluster,Tuc,11,"vF, R, 2nd of several",0,40.6,-,73,24
    223,IC 44,Galaxy,Cet,14,"vF, pS, R; = IC 44",0,42.7,+,0,51
    224,M 31,Galaxy,And,3.5,"Size: 178.  !!! eeB, eL, vmE (Andromeda)",0,42.7,+,41,16
    225,OCL 305,Open Cluster,Cas,7,"Size: 12.  Cl, L, lC, st 9...10",0,43.4,+,61,47
    226,UGC 459,Galaxy,And,14,"eF, S, R, *13 s 20""",0,42.8,+,32,34
    227,UGC 456,Galaxy,Cet,13,"Size: 2.1  F, pL, lbM",0,42.6,-,1,32
    228,UGC 458,Galaxy,And,15,"eF, S, R, fainter of 2",0,42.8,+,23,30
    229,MCG 4-2-49,Galaxy,And,14,"vF, S, R, smaller of 2",0,43,+,23,29
    230,ESO 474-14,Galaxy,Cet,15,"eF, eS, R, bMN",0,42.4,-,23,38
    231,ESO 29-SC5,Open Cluster,Tuc,12,i train of st and neb,0,41,-,73,22
    232,ESO 474-15,Galaxy,Cet,14,"eF, S, R, bMN",0,42.7,-,23,34
    233,UGC 464,Galaxy,And,14,"F, vS, R, lbM",0,43.4,+,30,35
    234,UGC 463,Galaxy,Psc,13,"F, pS, ilE, bM",0,43.4,+,14,20
    235,,Galaxy,Cet,14,"eF, S, R, bMN",0,42.8,-,23,33
    236,UGC 462,Galaxy,Psc,14,"vF, pL",0,43.5,+,2,56
    237,UGC 461,Galaxy,Cet,14,"Size: 1.8  vF, pS, lE, lbM",0,43.5,-,0,7
    238,ESO 194-31,Galaxy,Phe,,"Size: 1.9  eF, pL, R, gvlbM",0,43.4,-,50,11
    239,MCG 1-3-7,,Cet,,"pF, pS, E 20deg , bMN, *8 f 20s",0,44.6,-,3,47
    240,UGC 473,Galaxy,Psc,15,"vF, S, R, * nr s",0,45.1,+,6,8
    241,ESO 29-SC6,,Tuc,,"vF, R; = 242?",0,43.4,-,73,26
    242,ESO 29-SC6,Open Cluster,Tuc,12,"vF, S, biN",0,43.6,-,73,27
    243,MCG 5-2-43,Galaxy,And,14,"F, vS, R, gbM, *10 p",0,45.9,+,29,56
    244,MCG 3-3-3,Galaxy,Cet,13.3,"Size: 1.3  vF, S, iR, r, *10 s 5'",0,45.8,-,15,36
    245,UGC 476,Galaxy,Cet,13,"Size: 1.4  F, pS, iF, er",0,46.1,-,1,44
    246,PK 118-74.1,Planetary Nebula,Cet,8,"Size: 3.8  vF, L, 4 st in dif neb",0,47,-,11,53
    247,ESO 540-22,Galaxy,Cet,8.9,"Size: 20.0  F, eL, vmE 172deg",0,47.1,-,20,46
    248,ESO 29-EN8,Nebula,Tuc,,"F, S, E or biN, vglbM",0,45.4,-,73,23
    249,ESO 29-EN9,Nebula,Tuc,,"F, pL, vlE, r",0,45.4,-,73,5
    250,UGC 487,Galaxy,Psc,15,"eF, vS, R, am 3 st",0,47.3,+,7,55
    251,UGC 490,Galaxy,Psc,14,"vF, S, R, lbM, * inv, 2 vS st f",0,47.8,+,19,34
    252,UGC 491,Galaxy,And,13,"Size: 1.8  pB, S, R, pmbM, r, **  p",0,48,+,27,38
    253,ESO 474-29,Galaxy,Scl,7.1,"Size: 25.1  !! vvB, vvL, vmE 54deg , gbM",0,47.6,-,25,17
    254,ESO 411-15,Galaxy,Scl,11.8,"Size: 2.1  vB, pS, lE, smbM, *8 nf 5'",0,47.5,-,31,25
    255,MCG 2-3-17,Galaxy,Cet,11.8,"Size: 3.1  F, pS, R, gbM",0,47.8,-,11,28
    256,ESO 29-SC11,Cluster Nebulosity,Tuc,12,"F, S, R, gbM, *9 nf 40""",0,45.9,-,73,30
    257,UGC 493,Galaxy,Psc,14,"Size: 2.1  pL, lE, gbM, r",0,48.1,+,8,19
    258,MCG 4-3-5,Galaxy,And,15,"eF, S, vF st close",0,48.2,+,27,38
    259,MCG 1-3-15,Galaxy,Cet,,"Size: 3.2  F, S, E 135deg , lbM",0,48.1,-,2,47
    260,UGC 497,Galaxy,And,14,"Size: 1.0  eF, pS, lE",0,48.6,+,27,42
    261,ESO 29-EN12,Nebula,Tuc,,"F, pL, R, gbM *13",0,46.5,-,73,7
    262,UGC 499;Mrk 348,Galaxy,And,15,"Size: 1.4  eF, vS, R, v diffic",0,48.8,+,31,57
    263,MCG 2-3-21,Galaxy,Cet,14,"eF, vS, lE 30deg",0,48.9,-,13,6
    264,ESO 295-6,Galaxy,Scl,,"Size: 0.9  F, S, R, vsvmbM *13",0,48.3,-,38,14
    265,ESO 29-SC14,Globular Cluster,Tuc,12,"F, pS, R",0,47.6,-,73,29
    266,UGC 508,Galaxy,Psc,13,"Size: 3.2  pB, pS, lE, psbM, r, *8 sf 4'",0,49.8,+,32,16
    267,ESO 29-SC15,Cluster Nebulosity,Tuc,,"Cl, F, pL, st vS",0,48,-,73,17
    268,MCG 1-3-17,Galaxy,Cet,13,"Size: 1.7  vF, pS, ilE, r",0,50.2,-,5,12
    269,ESO 29-SC16,Globular Cluster,Tuc,12,"vF, S, R",0,48.5,-,73,32
    270,MCG 2-3-27,Galaxy,Cet,13,"pF, vS, iR, pgbM",0,50.7,-,8,39
    271,UGC 519,Galaxy,Cet,13,"Size: 2.5  pF, S, lE, psbM, *8 f 5s",0,50.8,-,1,53
    272,OCL 312,Open Cluster,And,,"Cl, L, lC",0,51.4,+,35,50
    273,MCG 1-3-19,Galaxy,Cet,13,"Size: 2.6  vF, vS",0,50.8,-,6,53
    274,MCG 1-3-21,Galaxy,Cet,13,"Size: 1.7  pB, pS, smbM, np of 2",0,51,-,7,3
    275,V V 81;Arp 140,Galaxy,Cet,12.5,"Size: 1.5  vF, S, R, sf of 2",0,51.1,-,7,4
